Time(s),CH1(V),CH2(V)
-3.000000e-04,-7.134107e+00,-7.263919e+00
-2.999625e-04,-7.140389e+00,-7.268743e+00
-2.999250e-04,-7.140389e+00,-7.263919e+00
-2.998875e-04,-7.140389e+00,-7.268743e+00
-2.998500e-04,-7.140389e+00,-7.268743e+00
-2.998125e-04,-7.140389e+00,-7.268743e+00
-2.997750e-04,-7.140389e+00,-7.268743e+00
-2.997375e-04,-7.140389e+00,-7.268743e+00
-2.997000e-04,-7.140389e+00,-7.268743e+00
-2.996625e-04,-7.146670e+00,-7.268743e+00
-2.996250e-04,-7.146670e+00,-7.268743e+00
-2.995875e-04,-7.146670e+00,-7.268743e+00
-2.995500e-04,-7.146670e+00,-7.268743e+00
-2.995125e-04,-7.146670e+00,-7.268743e+00
-2.994750e-04,-7.146670e+00,-7.273567e+00
-2.994375e-04,-7.146670e+00,-7.273567e+00
-2.994000e-04,-7.146670e+00,-7.273567e+00
-2.993625e-04,-7.146670e+00,-7.273567e+00
-2.993250e-04,-7.146670e+00,-7.273567e+00
-2.992875e-04,-7.146670e+00,-7.273567e+00
-2.992500e-04,-7.146670e+00,-7.273567e+00
-2.992125e-04,-7.152952e+00,-7.273567e+00
-2.991750e-04,-7.146670e+00,-7.273567e+00
-2.991375e-04,-7.152952e+00,-7.273567e+00
-2.991000e-04,-7.152952e+00,-7.273567e+00
-2.990625e-04,-7.152952e+00,-7.278391e+00
-2.990250e-04,-7.152952e+00,-7.278391e+00
-2.989875e-04,-7.152952e+00,-7.278391e+00
-2.989500e-04,-7.152952e+00,-7.278391e+00
-2.989125e-04,-7.152952e+00,-7.278391e+00
-2.988750e-04,-7.152952e+00,-7.278391e+00
-2.988375e-04,-7.152952e+00,-7.278391e+00
-2.988000e-04,-7.152952e+00,-7.278391e+00
-2.987625e-04,-7.152952e+00,-7.278391e+00
-2.987250e-04,-7.152952e+00,-7.278391e+00
-2.986875e-04,-7.159233e+00,-7.278391e+00
-2.986500e-04,-7.159233e+00,-7.278391e+00
-2.986125e-04,-7.159233e+00,-7.283215e+00
-2.985750e-04,-7.159233e+00,-7.283215e+00
-2.985375e-04,-7.159233e+00,-7.283215e+00
-2.985000e-04,-7.159233e+00,-7.283215e+00
-2.984625e-04,-7.159233e+00,-7.283215e+00
-2.984250e-04,-7.159233e+00,-7.283215e+00
-2.983875e-04,-7.159233e+00,-7.283215e+00
-2.983500e-04,-7.159233e+00,-7.283215e+00
-2.983125e-04,-7.159233e+00,-7.288039e+00
-2.982750e-04,-7.165514e+00,-7.288039e+00
-2.982375e-04,-7.165514e+00,-7.288039e+00
-2.982000e-04,-7.165514e+00,-7.288039e+00
-2.981625e-04,-7.165514e+00,-7.288039e+00
-2.981250e-04,-7.165514e+00,-7.288039e+00
-2.980875e-04,-7.165514e+00,-7.288039e+00
-2.980500e-04,-7.165514e+00,-7.288039e+00
-2.980125e-04,-7.171796e+00,-7.288039e+00
-2.979750e-04,-7.171796e+00,-7.292863e+00
-2.979375e-04,-7.171796e+00,-7.292863e+00
-2.979000e-04,-7.171796e+00,-7.292863e+00
-2.978625e-04,-7.171796e+00,-7.292863e+00
-2.978250e-04,-7.171796e+00,-7.292863e+00
-2.977875e-04,-7.171796e+00,-7.292863e+00
