# device: DP-ELBOW
# CPR=2500, quadrature x4 -> 10000 counts per revolution
# sample rate: 500 Hz, samples: 50000
# battery at download: 3.78 V
# quadrature errors: 0, index errors: 0
# index verification: PASSED
t,counts,deg
0.0000,-75130,-2704.680
0.0020,-75141,-2705.076
0.0040,-75153,-2705.508
0.0060,-75164,-2705.904
0.0080,-75175,-2706.300
0.0100,-75187,-2706.732
0.0120,-75198,-2707.128
0.0140,-75210,-2707.560
0.0160,-75221,-2707.956
0.0180,-75232,-2708.352
0.0200,-75243,-2708.748
0.0220,-75255,-2709.180
0.0240,-75266,-2709.576
0.0260,-75277,-2709.972
0.0280,-75288,-2710.368
0.0300,-75299,-2710.764
0.0320,-75310,-2711.160
0.0340,-75321,-2711.556
0.0360,-75331,-2711.916
0.0380,-75342,-2712.312
0.0400,-75353,-2712.708
0.0420,-75363,-2713.068
0.0440,-75373,-2713.428
0.0460,-75384,-2713.824
0.0480,-75394,-2714.184
0.0500,-75404,-2714.544
0.0520,-75414,-2714.904
0.0540,-75423,-2715.228
0.0560,-75433,-2715.588
0.0580,-75442,-2715.912
0.0600,-75452,-2716.272
0.0620,-75461,-2716.596
0.0640,-75470,-2716.920
0.0660,-75479,-2717.244
0.0680,-75487,-2717.532
0.0700,-75496,-2717.856
0.0720,-75504,-2718.144
0.0740,-75512,-2718.432
0.0760,-75520,-2718.720
0.0780,-75528,-2719.008
0.0800,-75535,-2719.260
0.0820,-75543,-2719.548
0.0840,-75550,-2719.800
0.0860,-75557,-2720.052
0.0880,-75564,-2720.304
0.0900,-75570,-2720.520
0.0920,-75576,-2720.736
0.0940,-75583,-2720.988
0.0960,-75588,-2721.168
0.0980,-75594,-2721.384
0.1000,-75600,-2721.600
0.1020,-75605,-2721.780
0.1040,-75610,-2721.960
0.1060,-75615,-2722.140
0.1080,-75619,-2722.284
0.1100,-75624,-2722.464
0.1120,-75628,-2722.608
0.1140,-75632,-2722.752
0.1160,-75636,-2722.896
0.1180,-75639,-2723.004
0.1200,-75642,-2723.112
0.1220,-75645,-2723.220
0.1240,-75648,-2723.328
0.1260,-75651,-2723.436
0.1280,-75653,-2723.508
0.1300,-75655,-2723.580
0.1320,-75657,-2723.652
0.1340,-75659,-2723.724
0.1360,-75660,-2723.760
0.1380,-75661,-2723.796
0.1400,-75662,-2723.832
0.1420,-75663,-2723.868
0.1440,-75663,-2723.868
0.1460,-75663,-2723.868
0.1480,-75663,-2723.868
0.1500,-75663,-2723.868
0.1520,-75663,-2723.868
0.1540,-75662,-2723.832
0.1560,-75661,-2723.796
0.1580,-75660,-2723.760
0.1600,-75658,-2723.688
0.1620,-75657,-2723.652
0.1640,-75655,-2723.580
0.1660,-75652,-2723.472
0.1680,-75650,-2723.400
0.1700,-75648,-2723.328
0.1720,-75645,-2723.220
0.1740,-75642,-2723.112
0.1760,-75638,-2722.968
0.1780,-75635,-2722.860
0.1800,-75631,-2722.716
0.1820,-75627,-2722.572
0.1840,-75623,-2722.428
0.1860,-75619,-2722.284
0.1880,-75614,-2722.104
0.1900,-75610,-2721.960
0.1920,-75605,-2721.780
0.1940,-75600,-2721.600
0.1960,-75594,-2721.384
0.1980,-75589,-2721.204
0.2000,-75583,-2720.988
0.2020,-75577,-2720.772
0.2040,-75571,-2720.556
0.2060,-75564,-2720.304
0.2080,-75558,-2720.088
0.2100,-75551,-2719.836
0.2120,-75544,-2719.584
0.2140,-75537,-2719.332
0.2160,-75530,-2719.080
0.2180,-75522,-2718.792
0.2200,-75515,-2718.540
0.2220,-75507,-2718.252
0.2240,-75499,-2717.964
0.2260,-75491,-2717.676
0.2280,-75483,-2717.388
0.2300,-75475,-2717.100
0.2320,-75466,-2716.776
0.2340,-75457,-2716.452
0.2360,-75449,-2716.164
0.2380,-75440,-2715.840
0.2400,-75431,-2715.516
0.2420,-75422,-2715.192
0.2440,-75413,-2714.868
0.2460,-75403,-2714.508
0.2480,-75394,-2714.184
0.2500,-75384,-2713.824
0.2520,-75375,-2713.500
0.2540,-75365,-2713.140
0.2560,-75355,-2712.780
0.2580,-75345,-2712.420
0.2600,-75336,-2712.096
0.2620,-75326,-2711.736
0.2640,-75316,-2711.376
0.2660,-75306,-2711.016
0.2680,-75296,-2710.656
0.2700,-75285,-2710.260
0.2720,-75275,-2709.900
0.2740,-75265,-2709.540
0.2760,-75255,-2709.180
0.2780,-75245,-2708.820
0.2800,-75235,-2708.460
0.2820,-75225,-2708.100
0.2840,-75215,-2707.740
0.2860,-75205,-2707.380
0.2880,-75195,-2707.020
0.2900,-75185,-2706.660
0.2920,-75175,-2706.300
0.2940,-75165,-2705.940
0.2960,-75155,-2705.580
0.2980,-75145,-2705.220
0.3000,-75136,-2704.896
0.3020,-75126,-2704.536
0.3040,-75116,-2704.176
0.3060,-75107,-2703.852
0.3080,-75098,-2703.528
0.3100,-75088,-2703.168
0.3120,-75079,-2702.844
0.3140,-75070,-2702.520
0.3160,-75061,-2702.196
0.3180,-75052,-2701.872
0.3200,-75044,-2701.584
0.3220,-75035,-2701.260
0.3240,-75027,-2700.972
0.3260,-75019,-2700.684
0.3280,-75010,-2700.360
0.3300,-75002,-2700.072
0.3320,-74995,-2699.820
0.3340,-74987,-2699.532
0.3360,-74980,-2699.280
0.3380,-74972,-2698.992
0.3400,-74965,-2698.740
0.3420,-74958,-2698.488
0.3440,-74951,-2698.236
0.3460,-74945,-2698.020
0.3480,-74938,-2697.768
0.3500,-74932,-2697.552
0.3520,-74926,-2697.336
0.3540,-74920,-2697.120
0.3560,-74914,-2696.904
0.3580,-74909,-2696.724
0.3600,-74904,-2696.544
0.3620,-74899,-2696.364
0.3640,-74894,-2696.184
0.3660,-74889,-2696.004
0.3680,-74885,-2695.860
0.3700,-74881,-2695.716
0.3720,-74877,-2695.572
0.3740,-74873,-2695.428
0.3760,-74869,-2695.284
0.3780,-74866,-2695.176
0.3800,-74863,-2695.068
0.3820,-74860,-2694.960
0.3840,-74857,-2694.852
0.3860,-74855,-2694.780
0.3880,-74853,-2694.708
0.3900,-74851,-2694.636
0.3920,-74849,-2694.564
0.3940,-74848,-2694.528
0.3960,-74846,-2694.456
0.3980,-74845,-2694.420
0.4000,-74845,-2694.420
0.4020,-74844,-2694.384
0.4040,-74844,-2694.384
0.4060,-74844,-2694.384
0.4080,-74844,-2694.384
0.4100,-74844,-2694.384
0.4120,-74845,-2694.420
0.4140,-74846,-2694.456
0.4160,-74847,-2694.492
0.4180,-74848,-2694.528
0.4200,-74850,-2694.600
0.4220,-74851,-2694.636
0.4240,-74853,-2694.708
0.4260,-74856,-2694.816
0.4280,-74858,-2694.888
0.4300,-74861,-2694.996
0.4320,-74864,-2695.104
0.4340,-74867,-2695.212
0.4360,-74870,-2695.320
0.4380,-74874,-2695.464
0.4400,-74878,-2695.608
0.4420,-74882,-2695.752
0.4440,-74886,-2695.896
0.4460,-74891,-2696.076
0.4480,-74896,-2696.256
0.4500,-74901,-2696.436
0.4520,-74906,-2696.616
0.4540,-74911,-2696.796
0.4560,-74917,-2697.012
0.4580,-74923,-2697.228
0.4600,-74929,-2697.444
0.4620,-74935,-2697.660
0.4640,-74941,-2697.876
0.4660,-74948,-2698.128
0.4680,-74955,-2698.380
0.4700,-74962,-2698.632
0.4720,-74969,-2698.884
0.4740,-74977,-2699.172
0.4760,-74984,-2699.424
0.4780,-74992,-2699.712
0.4800,-75000,-2700.000
0.4820,-75008,-2700.288
0.4840,-75016,-2700.576
0.4860,-75025,-2700.900
0.4880,-75034,-2701.224
0.4900,-75043,-2701.548
0.4920,-75052,-2701.872
0.4940,-75061,-2702.196
0.4960,-75070,-2702.520
0.4980,-75079,-2702.844
0.5000,-75089,-2703.204
0.5020,-75099,-2703.564
0.5040,-75109,-2703.924
0.5060,-75119,-2704.284
0.5080,-75129,-2704.644
0.5100,-75139,-2705.004
0.5120,-75149,-2705.364
0.5140,-75160,-2705.760
0.5160,-75170,-2706.120
0.5180,-75181,-2706.516
0.5200,-75191,-2706.876
0.5220,-75202,-2707.272
0.5240,-75213,-2707.668
0.5260,-75224,-2708.064
0.5280,-75235,-2708.460
0.5300,-75246,-2708.856
0.5320,-75257,-2709.252
0.5340,-75268,-2709.648
0.5360,-75279,-2710.044
0.5380,-75290,-2710.440
0.5400,-75301,-2710.836
0.5420,-75313,-2711.268
0.5440,-75324,-2711.664
0.5460,-75335,-2712.060
0.5480,-75346,-2712.456
0.5500,-75357,-2712.852
0.5520,-75368,-2713.248
0.5540,-75379,-2713.644
0.5560,-75391,-2714.076
0.5580,-75402,-2714.472
0.5600,-75413,-2714.868
0.5620,-75424,-2715.264
0.5640,-75434,-2715.624
0.5660,-75445,-2716.020
0.5680,-75456,-2716.416
0.5700,-75467,-2716.812
0.5720,-75477,-2717.172
0.5740,-75488,-2717.568
0.5760,-75498,-2717.928
0.5780,-75508,-2718.288
0.5800,-75519,-2718.684
0.5820,-75529,-2719.044
0.5840,-75539,-2719.404
0.5860,-75549,-2719.764
0.5880,-75558,-2720.088
0.5900,-75568,-2720.448
0.5920,-75578,-2720.808
0.5940,-75587,-2721.132
0.5960,-75596,-2721.456
0.5980,-75605,-2721.780
0.6000,-75614,-2722.104
0.6020,-75623,-2722.428
0.6040,-75631,-2722.716
0.6060,-75640,-2723.040
0.6080,-75648,-2723.328
0.6100,-75656,-2723.616
0.6120,-75664,-2723.904
0.6140,-75672,-2724.192
0.6160,-75679,-2724.444
0.6180,-75687,-2724.732
0.6200,-75694,-2724.984
0.6220,-75701,-2725.236
0.6240,-75708,-2725.488
0.6260,-75714,-2725.704
0.6280,-75721,-2725.956
0.6300,-75727,-2726.172
0.6320,-75733,-2726.388
0.6340,-75739,-2726.604
0.6360,-75745,-2726.820
0.6380,-75750,-2727.000
0.6400,-75755,-2727.180
0.6420,-75761,-2727.396
0.6440,-75765,-2727.540
0.6460,-75770,-2727.720
0.6480,-75774,-2727.864
0.6500,-75779,-2728.044
0.6520,-75783,-2728.188
0.6540,-75786,-2728.296
0.6560,-75790,-2728.440
0.6580,-75793,-2728.548
0.6600,-75796,-2728.656
0.6620,-75799,-2728.764
0.6640,-75802,-2728.872
0.6660,-75804,-2728.944
0.6680,-75807,-2729.052
0.6700,-75809,-2729.124
